old_species_id	No. genes	Assembly size	Major clade
yHMPu5000035689_Candida_mycetangii	5720	12145481	Phaffomycetaceae
yHMPu5000035688_Cyberlindnera_xylosilytica	6510	13871052	Phaffomycetaceae
yHMPu5000035687_Cyberlindnera_suaveolens	6088	12292839	Phaffomycetaceae
yHMPu5000035686_Cyberlindnera_saturnus	6564	13328670	Phaffomycetaceae
yHMPu5000035673_Candida_orba	5742	11407989	Phaffomycetaceae
yHMPu5000035672_Phaffomyces_thermotolerans	5625	11313357	Phaffomycetaceae
yHMPu5000035671_Phaffomyces_antillensis	5931	11982549	Phaffomycetaceae
yHMPu5000035670_Phaffomyces_opuntiae	5913	13138333	Phaffomycetaceae
yHMPu5000035658_Starmera_amethionina	5836	11591917	Phaffomycetaceae
yHMPu5000035639_Wickerhamomyces_canadensis	5950	12429788	Phaffomycetaceae
yHMPu5000035325_Cyberlindnera_petersonii	5769	11596853	Phaffomycetaceae
yHMPu5000035286_Candida_azyma	5949	12074784	Phaffomycetaceae
yHMPu5000035274_Wickerhamomyces_alni	6112	12106642	Phaffomycetaceae
yHMPu5000035271_Wickerhamomyces_bovis	5850	11649508	Phaffomycetaceae
yHMPu5000035268_Wickerhamomyces_hampshirensis	6241	11737171	Phaffomycetaceae
yHMPu5000035261_Candida_ponderosae	7327	14054944	Phaffomycetaceae
yHMPu5000035048_Barnettozyma_salicaria	5586	10943316	Phaffomycetaceae
yHMPu5000035047_Barnettozyma_pratensis	5854	12547507	Phaffomycetaceae
yHMPu5000035046_Barnettozyma_populi	5594	11460507	Phaffomycetaceae
yHMPu5000035045_Barnettozyma_hawaiiensis	5371	10599484	Phaffomycetaceae
yHMPu5000035044_Barnettozyma_californica	5810	11861291	Phaffomycetaceae
yHMPu5000035037_Candida_montana	5819	12525257	Phaffomycetaceae
yHMPu5000034979_Cyberlindnera_misumaiensis	5588	10494543	Phaffomycetaceae
yHMPu5000034978_Cyberlindnera_mrakii	6157	12709324	Phaffomycetaceae
yHMPu5000034967_Candida_freyschussii	5527	10958042	Phaffomycetaceae
yHMPu5000034597_Candida_stellimalicola	5226	10814520	Phaffomycetaceae
yHMPu5000034594_Starmera_quercuum	5736	11709567	Phaffomycetaceae
Hanseniaspora_uvarum	4256	9503661	Saccharomycodaceae
Hanseniaspora_valbyensis	5010	11464179	Saccharomycodaceae
Hanseniaspora_vinae	4661	11383302	Saccharomycodaceae
yHMPu5000035696_Hanseniaspora_singularis	4985	8997258	Saccharomycodaceae
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii	4438	8880013	Saccharomycodaceae
yHMPu5000035684_Kloeckera_hatyaiensis	4589	9782044	Saccharomycodaceae
yHMPu5000034963_Hanseniaspora_clermontiae	4450	8871681	Saccharomycodaceae
yHMPu5000034957_Hanseniaspora_osmophila	5050	11743089	Saccharomycodaceae
Ashbya_aceri	4322	8894523	Saccharomycetaceae
Candida_glabrata	5143	12318245	Saccharomycetaceae
Eremothecium_coryli	4439	9094934	Saccharomycetaceae
Eremothecium_cymbalariae	4471	9669424	Saccharomycetaceae
Eremothecium_gossypii	4327	9095748	Saccharomycetaceae
Eremothecium_sinecaudum	4314	8948761	Saccharomycetaceae
Kazachstania_africana	5122	11130140	Saccharomycetaceae
Kazachstania_naganishii	4925	10845821	Saccharomycetaceae
Kluyveromyces_lactis	4962	10689156	Saccharomycetaceae
Kluyveromyces_marxianus	5110	11165408	Saccharomycetaceae
Lachancea_cidri	4740	10147735	Saccharomycetaceae
Lachancea_dasiensis	4889	10701617	Saccharomycetaceae
Lachancea_fantastica	5002	11336659	Saccharomycetaceae
Lachancea_fermentati	4879	10264457	Saccharomycetaceae
Lachancea_kluyveri	5189	11345814	Saccharomycetaceae
Lachancea_lanzarotensis	4871	11092131	Saccharomycetaceae
Lachancea_meyersii	4955	11261819	Saccharomycetaceae
Lachancea_mirantina	4852	10117267	Saccharomycetaceae
Lachancea_nothofagi	5086	11313798	Saccharomycetaceae
Lachancea_quebecensis	4672	10225810	Saccharomycetaceae
Lachancea_thermotolerans	4808	10392861	Saccharomycetaceae
Lachancea_waltii	5216	10912112	Saccharomycetaceae
Nakaseomyces_bacillisporus	4844	11106681	Saccharomycetaceae
Nakaseomyces_bracarensis	5432	12413499	Saccharomycetaceae
Nakaseomyces_castellii	4689	10286478	Saccharomycetaceae
Nakaseomyces_delphensis	5105	10969104	Saccharomycetaceae
Nakaseomyces_nivariensis	5206	11687903	Saccharomycetaceae
Naumovozyma_castellii	5264	11219539	Saccharomycetaceae
Naumovozyma_dairenensis	5651	13527580	Saccharomycetaceae
Saccharomyces_arboricola	5013	11619520	Saccharomycetaceae
Saccharomyces_cerevisiae	5911	12157105	Saccharomycetaceae
Saccharomyces_eubayanus	5043	11683510	Saccharomycetaceae
Saccharomyces_kudriavzevii	4887	11305202	Saccharomycetaceae
Saccharomyces_mikatae	4914	11450123	Saccharomycetaceae
Saccharomyces_paradoxus	5038	11744610	Saccharomycetaceae
Saccharomyces_uvarum	5004	11502913	Saccharomycetaceae
Tetrapisispora_blattae	5377	14048593	Saccharomycetaceae
Tetrapisispora_phaffii	5295	12115070	Saccharomycetaceae
Torulaspora_delbrueckii	4506	9220678	Saccharomycetaceae
Vanderwaltozyma_polyspora	5679	14674591	Saccharomycetaceae
Zygosaccharomyces_bailii	4606	10268813	Saccharomycetaceae
Zygosaccharomyces_rouxii	4623	9764635	Saccharomycetaceae
yHAB136_Kazachstania_bromeliacearum	5308	11280625	Saccharomycetaceae
yHAB134_Kazachstania_turicensis	5937	14081993	Saccharomycetaceae
yHAB133_Kazachstania_unispora	5539	12615963	Saccharomycetaceae
yHAB132_Kazachstania_martiniae	5708	11743474	Saccharomycetaceae
yHAB143_Kazachstania_siamensis	5180	11809440	Saccharomycetaceae
yHAB147_Kazachstania_taianensis	5201	13583218	Saccharomycetaceae
yHAB148_Kazachstania_intestinalis	4961	9893340	Saccharomycetaceae
yHAB164_Kazachstania_aerobia	5221	12056930	Saccharomycetaceae
yHAB160_Kazachstania_kunashirensis	5288	10958485	Saccharomycetaceae
yHAB159_Kazachstania_solicola	6019	13005382	Saccharomycetaceae
yHAB158_Kazachstania_viticola	5828	12090116	Saccharomycetaceae
yHAB155_Kazachstania_spencerorum	6540	12995003	Saccharomycetaceae
yHAB154_Kazachstania_transvaalensis	4897	12473104	Saccharomycetaceae
yHAB153_Kazachstania_rosinii	5378	12228103	Saccharomycetaceae
yHAB166_Kazachstania_yakushimaensis	5511	12823901	Saccharomycetaceae
yHMPu5000035652_Torulaspora_maleeae	4312	9217914	Saccharomycetaceae
yHMPu5000035651_Torulaspora_microellipsoides	5298	10927271	Saccharomycetaceae
yHMPu5000035629_Yueomyces_sinensis	5545	12915719	Saccharomycetaceae
yHMPu5000034881_Torulaspora_pretoriensis	5670	11567242	Saccharomycetaceae
yHMPu5000034877_Tetrapisispora_namnaonensis	5748	12471591	Saccharomycetaceae
yHMPu5000034876_Tetrapisispora_iriomotensis	5775	11946050	Saccharomycetaceae
yHMPu5000034875_Tetrapisispora_fleetii	5563	12055622	Saccharomycetaceae
yHMPu5000034866_Zygosaccharomyces_bisporus	4717	10539560	Saccharomycetaceae
yHMPu5000034865_Zygosaccharomyces_kombuchaensis	4527	10226748	Saccharomycetaceae
yHMPu5000034862_Zygotorulaspora_florentina	5014	11024777	Saccharomycetaceae
yHMPu5000034710_Kluyveromyces_dobzhanskii	4882	10813071	Saccharomycetaceae
yHMPu5000034709_Kluyveromyces_aestuarii	4833	10039469	Saccharomycetaceae
yHMPu5000026256_Zygotorulaspora_mrakii	4772	10256226	Saccharomycetaceae
yHMPu5000026152_Torulaspora_franciscae	5046	10497374	Saccharomycetaceae
Schizosaccharomyces_pombe	5134	12611948	Ascomycota
Saitoella_complicata	7034	14136186	Ascomycota
Botrytis_cinerea	16447	42663021	Ascomycota
Sclerotinia_sclerotiorum	14503	38330212	Ascomycota
Stagonospora_nodorum	12380	37213987	Ascomycota
Arthrobotrys_oligospora	11479	40072829	Ascomycota
Xylona_heveae	8205	24337763	Ascomycota
Aspergillus_nidulans	10680	30483994	Ascomycota
Coccidioides_immitis	9910	28947925	Ascomycota
Neurospora_crassa	107854	1037538	Ascomycota
Fusarium_graminearum	13322	36446046	Ascomycota
